Absolt. 	 Absolument
Abusivt. 	 Abusivement
ACOUST. 	 Acoustique
Adj. 	 Adjectif ou adjective
Adjt. 	 Adjectivement
ADM. 	 Administration
Adv. 	 Adverbe
Advt. 	 Adverbialement
AÉRON. 	 Aéronautique
AGRIC. 	 Agriculture
AGRON. 	 Agronomie
ALCH. 	 Alchimie
ALG. 	 Algèbre
AMEUBL. 	 Ameublement
ANAT. 	 Anatomie
Anciennt. 	 Anciennement
ANTHROPOL. 	 Anthropologie
ANTIQ. 	 Antiquité
APIC. 	 Apiculture
Apr. 	 Après (une date ou un nom)
ARBOR. 	 Arboriculture
ARCHÉOL. 	 Archéologie
ARCHIT. 	 Architecture
ARITHM. 	 Arithmétique
ARTILL. 	 Artillerie
ASTROL. 	 Astrologie
ASTRON. 	 Astronomie
Auj. 	 Aujourd’hui
Av. 	 Avant (une date ou un nom)
BALIST. 	 Balistique
BÂT. 	 Bâtiment
BIOL. 	 Biologie
BOT. 	 Botanique
BX-ARTS. 	 Beaux-Arts
CATHOL. 	 Catholique
CH. DE FER. 	 Chemins de fer
CHIM. 	 Chimie
CHIR. 	 Chirurgie
CHORÉGR. 	 Chorégraphie
Class. 	 Classique
Compl. 	 Complément
COMPT. 	 Comptabilité
CONFIS. 	 Confiserie
Conj. de coord. 	 Conjonction de coordination
Conj. de sub. 	 Conjonction de subordination
COURSES 	 Courses de chevaux
COUT. 	 Couture
CUIS. 	 Cuisine
D. 	 Densité
Dém. 	 Démonstratif
DÉMOGR. 	 Démographie
DIDACT. 	 Didactique
ÉBÉN. 	 Ébénisterie
ÉCON. 	 Économie
ÉLECTR. 	 Électricité
ÉLECTRON. 	 Électronique
Ellipt. 	 Elliptiquement
ENSEIGN. 	 Enseignement
ENTOM. 	 Entomologie
ÉQUIT. 	 Équitation
ESCR. 	 Escrime
ESTH. 	 Esthétique
ETHNOL. 	 Ethnologie
ÉTHOL. 	 Éthologie
Ex. 	 Exemple
Exclam. 	 Exclamatif
Expr. 	 Expression
F. 	 Féminin
Fam. 	 Familier, familièrement
FÉOD. 	 Féodal ou féodalité
Fig. 	 Au figuré
FISC. 	 Fiscalité
Fut. 	 Futur
GASTRON. 	 Gastronomie
Généralt. 	 Généralement
GÉOD. 	 Géodésie
GÉOGR. 	 Géographie
GÉOL. 	 Géologie
GÉOM. 	 Géométrie
GRAMM. 	 Grammaire
GRAV. 	 Gravure
GRECQ. 	 Grecque
HÉMAT. 	 Hématologie
HÉRALD. 	 Héraldique
HIPPOL. 	 Hippologie
HIST. 	 Histoire
HISTOL. 	 Histologie
HORT. 	 Horticulture
HYDROG. 	 Hydrographie
HYDROL. 	 Hydrologie
HYG. 	 Hygiène
Imp. 	 Imparfait
Imper. 	 Impératif
Impers. 	 Impersonnel ou en emploi impersonnel
Ind. 	 Indirect
Indéf. 	 Indéfini
Indic. 	 Indicatif
Inf. 	 Infinitif
INFORM. 	 Informatique
Interj. 	 Interjection
Interr. 	 Interrogatif
Intr. 	 Intransitif
Intranst. 	 Intransitivement
Inv. 	 Invariable
Iron. 	 Ironique ou ironiquement
Irrég. 	 Irrégulier
J.-C. 	 Jésus-Christ
JOAILL. 	 Joaillerie
LAT. 	 Latin ou latine
LÉGISL. 	 Législation
LINGUIST. 	 Linguistique
LITT. 	 D’un emploi littéraire
LITURG. 	 Liturgie
Loc. 	 Locution
Loc. adj. 	 Locution adjective
Loc. adv. 	 Locution adverbiale
Loc. conj. 	 Locution conjonctive
Loc. prép. 	 Locution prépositive
Loc. verb. 	 Locution verbale
M. 	 Masculin
M. at. 	 Masse atomique
MATH. 	 Mathématiques
MÉCAN. 	 Mécanique
MÉD. 	 Médecine
MÉTALL. 	 Métallurgie
MÉTÉOR. 	 Météorologie
MICROBIOL. 	 Microbiologie
MILIT. 	 Art militaire ou vie militaire
MINÉR. 	 Minéralogie
MUS. 	 Musique
MYTH. 	 Mythologie
N. 	 Nom
N. f. 	 Nom féminin
N. m. 	 Nom masculin
N° at. 	 Numéro atomique
NÉOL. 	 Néologisme
Numér. 	 Numéral
NUMIS. 	 Numismatique
OCCULT. 	 Occultisme
OCÉAN. 	 Océanographie
ŒNOL. 	 Œnologie
OPHTALM. 	 Ophtalmologie
OPT. 	 Optique
ORFÈVR. 	 Orfèvrerie
OROGR. 	 Orographie
P. et CH. 	 Ponts et Chaussées
P. p. 	 Participe passé
P. présent 	 Participe présent
PALÉONT. 	 Paléontologie
Par affaibl. 	 Par affaiblissement de sens
Par anal. 	 Par analogie
Par exag. 	 Par exagération d’emploi
Par ext. 	 Par extension
Par méton. 	 Par métonymie
Par opp. 	 Par opposition
PATHOL. 	 Pathologie
PÂTISS. 	 Pâtisserie
PÉD. 	 Pédologie
PEINT. 	 Peinture
Péj. 	 Péjorativement
Pers. 	 Personne
PHARM. 	 Pharmacie
PHIL. 	 Philosophie
PHON. 	 Phonétique
PHOT. 	 Photographie
PHYS. 	 Physique
PHYS. NUCL. 	 Physique nucléaire
PHYSIOL. 	 Physiologie
Pl. 	 Pluriel
Poét. 	 D’un emploi poétique
POLIT. 	 Politique
Pop. 	 D’un emploi populaire
Poss. 	 Possessif
Pr. 	 Pronom
Pr. dém. 	 Pronom démonstratif
Pr. indéf. 	 Pronom indéfini
Pr. interr. 	 Pronom interrogatif
Pr. pers. 	 Pronom personnel
Pr. rel. 	 Pronom relatif
Préf. 	 Préfixe
PRÉHIST. 	 Préhistoire
Prép. 	 Préposition
Prés. 	 Présent (dans la conjugaison)
Pron. 	 Forme pronominale / emploi pronominal
PROS. 	 Prosodie
Prov. 	 Proverbe
PSYCHAN. 	 Psychanalyse
PSYCHIATR. 	 Psychiatrie
PSYCHOL. 	 Psychologie
PSYCHOPATHOL. 	 Psychopathologie
PSYCHOSOCIOL. 	 Psychosociologie
RADIOGR. 	 Radiographie
RADIOPHON. 	 Radiophonie
RELIG. 	 Religion
RHÉTOR. 	 Rhétorique
ROM. 	 Romain ou romaine
S. 	 Siècle
SC. 	 Sciences
SC. NAT. 	 Sciences naturelles
SCOLAST. 	 Scolastique
SCULPT. 	 Sculpture
Sing. 	 Singulier
SOCIOL. 	 Sociologie
Spécialt. 	 Spécialement
SPÉLÉOL. 	 Spéléologie
STAT. 	 Statistique
Subj. 	 Subjonctif
Subst. 	 Substantif ou substantivement
Suff. 	 Suffixe
SYLVIC. 	 Sylviculture
Symb. 	 Symbole
Syn. 	 Synonyme
TAUROM. 	 Tauromachie
TECHN. 	 Technique
TÉLÉCOMM. 	 Télécommunications
TÉLÉV. 	 Télévision
THÉOL. 	 Théologie
Tr. 	 Transitif
Transt. 	 Transitivement
TRAV. PUBL. 	 Travaux publics
Triv. 	 Trivial
TYPOGRAPH. 	 Typographie
URBAN. 	 Urbanisme
V. 	 Verbe
V. déf. 	 Verbe défectif
V. impers. 	 Verbe impersonnel
V. intr. 	 Verbe intransitif
V. pron. 	 Verbe pronominal
V. tr. 	 Verbe transitif
VÈN. 	 Vènerie
VÉTÉR. 	 Vétérinaire
VITIC. 	 Viticulture
Vulg. 	 Vulgaire
ZOOL. 	 Zoologie
